database_name	LIPIDMAPS
database_version	18Mar14
922.798942	C60H106O6	LMGL03010837
922.798942	C60H106O6	LMGL03010838
922.798942	C60H106O6	LMGL03010839
908.783292	C59H104O6	LMGL03010840
908.783292	C59H104O6	LMGL03010841
926.830242	C60H110O6	LMGL03010842
926.830242	C60H110O6	LMGL03010843
906.767642	C59H102O6	LMGL03010844
906.767642	C59H102O6	LMGL03010845
906.767642	C59H102O6	LMGL03010846
924.814592	C60H108O6	LMGL03010847
904.751992	C59H100O6	LMGL03010848
906.767642	C59H102O6	LMGL03010849
906.767642	C59H102O6	LMGL03010850
904.751992	C59H100O6	LMGL03010851
904.751992	C59H100O6	LMGL03010852
906.767642	C59H102O6	LMGL03010853
886.705042	C58H94O6	LMGL03010854
904.751992	C59H100O6	LMGL03010855
960.908492	C62H120O6	LMGL03010856
938.830242	C61H110O6	LMGL03010857
938.830242	C61H110O6	LMGL03010858
944.877192	C61H116O6	LMGL03010859
938.830242	C61H110O6	LMGL03010860
938.830242	C61H110O6	LMGL03010861
938.830242	C61H110O6	LMGL03010862
922.798942	C60H106O6	LMGL03010863
918.767642	C60H102O6	LMGL03010864
918.767642	C60H102O6	LMGL03010865
938.830242	C61H110O6	LMGL03010866
938.830242	C61H110O6	LMGL03010867
922.798942	C60H106O6	LMGL03010868
900.720692	C59H96O6	LMGL03010869
900.720692	C59H96O6	LMGL03010870
918.767642	C60H102O6	LMGL03010871
918.767642	C60H102O6	LMGL03010872
918.767642	C60H102O6	LMGL03010873
938.830242	C61H110O6	LMGL03010874
922.798942	C60H106O6	LMGL03010875
900.720692	C59H96O6	LMGL03010876
900.720692	C59H96O6	LMGL03010877
900.720692	C59H96O6	LMGL03010878
918.767642	C60H102O6	LMGL03010879
918.767642	C60H102O6	LMGL03010880
918.767642	C60H102O6	LMGL03010881
922.798942	C60H106O6	LMGL03010882
900.720692	C59H96O6	LMGL03010883
900.720692	C59H96O6	LMGL03010884
926.830242	C60H110O6	LMGL03010885
926.830242	C60H110O6	LMGL03010886
944.877192	C61H116O6	LMGL03010887
944.877192	C61H116O6	LMGL03010888
928.845892	C60H112O6	LMGL03010889
926.830242	C60H110O6	LMGL03010890
926.830242	C60H110O6	LMGL03010891
942.861542	C61H114O6	LMGL03010892
942.861542	C61H114O6	LMGL03010893
960.908492	C62H120O6	LMGL03010894
944.877192	C61H116O6	LMGL03010895
922.798942	C60H106O6	LMGL03010896
942.861542	C61H114O6	LMGL03010897
942.861542	C61H114O6	LMGL03010898
942.861542	C61H114O6	LMGL03010899
942.861542	C61H114O6	LMGL03010900
944.877192	C61H116O6	LMGL03010901
922.798942	C60H106O6	LMGL03010902
922.798942	C60H106O6	LMGL03010903
942.861542	C61H114O6	LMGL03010904
940.845892	C61H112O6	LMGL03010905
924.814592	C60H108O6	LMGL03010906
920.783292	C60H104O6	LMGL03010907
920.783292	C60H104O6	LMGL03010908
920.783292	C60H104O6	LMGL03010909
940.845892	C61H112O6	LMGL03010910
928.845892	C60H112O6	LMGL03010911
906.767642	C59H102O6	LMGL03010912
924.814592	C60H108O6	LMGL03010913
924.814592	C60H108O6	LMGL03010914
924.814592	C60H108O6	LMGL03010915
904.751992	C59H100O6	LMGL03010916
904.751992	C59H100O6	LMGL03010917
922.798942	C60H106O6	LMGL03010918
922.798942	C60H106O6	LMGL03010919
902.736342	C59H98O6	LMGL03010920
904.751992	C59H100O6	LMGL03010921
904.751992	C59H100O6	LMGL03010922
922.798942	C60H106O6	LMGL03010923
902.736342	C59H98O6	LMGL03010924
904.751992	C59H100O6	LMGL03010925
904.751992	C59H100O6	LMGL03010926
902.736342	C59H98O6	LMGL03010927
902.736342	C59H98O6	LMGL03010928
936.814592	C61H108O6	LMGL03010929
958.892842	C62H118O6	LMGL03010930
936.814592	C61H108O6	LMGL03010931
936.814592	C61H108O6	LMGL03010932
936.814592	C61H108O6	LMGL03010933
942.861542	C61H114O6	LMGL03010934
916.751992	C60H100O6	LMGL03010935
936.814592	C61H108O6	LMGL03010936
936.814592	C61H108O6	LMGL03010937
936.814592	C61H108O6	LMGL03010938
920.783292	C60H104O6	LMGL03010939
916.751992	C60H100O6	LMGL03010940
916.751992	C60H100O6	LMGL03010941
916.751992	C60H100O6	LMGL03010942
936.814592	C61H108O6	LMGL03010943
936.814592	C61H108O6	LMGL03010944
920.783292	C60H104O6	LMGL03010945
898.705042	C59H94O6	LMGL03010946
898.705042	C59H94O6	LMGL03010947
898.705042	C59H94O6	LMGL03010948
916.751992	C60H100O6	LMGL03010949
916.751992	C60H100O6	LMGL03010950
916.751992	C60H100O6	LMGL03010951
936.814592	C61H108O6	LMGL03010952
920.783292	C60H104O6	LMGL03010953
898.705042	C59H94O6	LMGL03010954
924.814592	C60H108O6	LMGL03010955
924.814592	C60H108O6	LMGL03010956
942.861542	C61H114O6	LMGL03010957
942.861542	C61H114O6	LMGL03010958
942.861542	C61H114O6	LMGL03010959
946.892842	C61H118O6	LMGL03010960
924.814592	C60H108O6	LMGL03010961
924.814592	C60H108O6	LMGL03010962
940.845892	C61H112O6	LMGL03010963
940.845892	C61H112O6	LMGL03010964
958.892842	C62H118O6	LMGL03010965
958.892842	C62H118O6	LMGL03010966
942.861542	C61H114O6	LMGL03010967
940.845892	C61H112O6	LMGL03010968
940.845892	C61H112O6	LMGL03010969
940.845892	C61H112O6	LMGL03010970
940.845892	C61H112O6	LMGL03010971
958.892842	C62H118O6	LMGL03010972
942.861542	C61H114O6	LMGL03010973
920.783292	C60H104O6	LMGL03010974
940.845892	C61H112O6	LMGL03010975
940.845892	C61H112O6	LMGL03010976
938.830242	C61H110O6	LMGL03010977
938.830242	C61H110O6	LMGL03010978
940.845892	C61H112O6	LMGL03010979
918.767642	C60H102O6	LMGL03010980
918.767642	C60H102O6	LMGL03010981
938.830242	C61H110O6	LMGL03010982
942.861542	C61H114O6	LMGL03010983
926.830242	C60H110O6	LMGL03010984
922.798942	C60H106O6	LMGL03010985
922.798942	C60H106O6	LMGL03010986
922.798942	C60H106O6	LMGL03010987
942.861542	C61H114O6	LMGL03010988
924.814592	C60H108O6	LMGL03010989
902.736342	C59H98O6	LMGL03010990
920.783292	C60H104O6	LMGL03010991
920.783292	C60H104O6	LMGL03010992
920.783292	C60H104O6	LMGL03010993
902.736342	C59H98O6	LMGL03010994
902.736342	C59H98O6	LMGL03010995
920.783292	C60H104O6	LMGL03010996
920.783292	C60H104O6	LMGL03010997
900.720692	C59H96O6	LMGL03010998
902.736342	C59H98O6	LMGL03010999
902.736342	C59H98O6	LMGL03011000
920.783292	C60H104O6	LMGL03011001
900.720692	C59H96O6	LMGL03011002
956.877192	C62H116O6	LMGL03011003
972.908492	C63H120O6	LMGL03011004
934.798942	C61H106O6	LMGL03011005
934.798942	C61H106O6	LMGL03011006
956.877192	C62H116O6	LMGL03011007
934.798942	C61H106O6	LMGL03011008
934.798942	C61H106O6	LMGL03011009
934.798942	C61H106O6	LMGL03011010
934.798942	C61H106O6	LMGL03011011
940.845892	C61H112O6	LMGL03011012
914.736342	C60H98O6	LMGL03011013
914.736342	C60H98O6	LMGL03011014
934.798942	C61H106O6	LMGL03011015
934.798942	C61H106O6	LMGL03011016
934.798942	C61H106O6	LMGL03011017
918.767642	C60H102O6	LMGL03011018
896.689392	C59H92O6	LMGL03011019
914.736342	C60H98O6	LMGL03011020
914.736342	C60H98O6	LMGL03011021
914.736342	C60H98O6	LMGL03011022
934.798942	C61H106O6	LMGL03011023
934.798942	C61H106O6	LMGL03011024
918.767642	C60H102O6	LMGL03011025
896.689392	C59H92O6	LMGL03011026
922.798942	C60H106O6	LMGL03011027
922.798942	C60H106O6	LMGL03011028
940.845892	C61H112O6	LMGL03011029
940.845892	C61H112O6	LMGL03011030
940.845892	C61H112O6	LMGL03011031
960.908492	C62H120O6	LMGL03011032
944.877192	C61H116O6	LMGL03011033
922.798942	C60H106O6	LMGL03011034
938.830242	C61H110O6	LMGL03011035
938.830242	C61H110O6	LMGL03011036
956.877192	C62H116O6	LMGL03011037
956.877192	C62H116O6	LMGL03011038
956.877192	C62H116O6	LMGL03011039
960.908492	C62H120O6	LMGL03011040
938.830242	C61H110O6	LMGL03011041
938.830242	C61H110O6	LMGL03011042
938.830242	C61H110O6	LMGL03011043
938.830242	C61H110O6	LMGL03011044
956.877192	C62H116O6	LMGL03011045
956.877192	C62H116O6	LMGL03011046
940.845892	C61H112O6	LMGL03011047
938.830242	C61H110O6	LMGL03011048
938.830242	C61H110O6	LMGL03011049
936.814592	C61H108O6	LMGL03011050
936.814592	C61H108O6	LMGL03011051
954.861542	C62H114O6	LMGL03011052
938.830242	C61H110O6	LMGL03011053
916.751992	C60H100O6	LMGL03011054
936.814592	C61H108O6	LMGL03011055
936.814592	C61H108O6	LMGL03011056
940.845892	C61H112O6	LMGL03011057
940.845892	C61H112O6	LMGL03011058
942.861542	C61H114O6	LMGL03011059
920.783292	C60H104O6	LMGL03011060
920.783292	C60H104O6	LMGL03011061
940.845892	C61H112O6	LMGL03011062
938.830242	C61H110O6	LMGL03011063
922.798942	C60H106O6	LMGL03011064
918.767642	C60H102O6	LMGL03011065
918.767642	C60H102O6	LMGL03011066
918.767642	C60H102O6	LMGL03011067
938.830242	C61H110O6	LMGL03011068
922.798942	C60H106O6	LMGL03011069
900.720692	C59H96O6	LMGL03011070
918.767642	C60H102O6	LMGL03011071
918.767642	C60H102O6	LMGL03011072
918.767642	C60H102O6	LMGL03011073
900.720692	C59H96O6	LMGL03011074
900.720692	C59H96O6	LMGL03011075
918.767642	C60H102O6	LMGL03011076
918.767642	C60H102O6	LMGL03011077
898.705042	C59H94O6	LMGL03011078
970.892842	C63H118O6	LMGL03011079
932.783292	C61H104O6	LMGL03011080
954.861542	C62H114O6	LMGL03011081
970.892842	C63H118O6	LMGL03011082
932.783292	C61H104O6	LMGL03011083
932.783292	C61H104O6	LMGL03011084
932.783292	C61H104O6	LMGL03011085
954.861542	C62H114O6	LMGL03011086
912.720692	C60H96O6	LMGL03011087
932.783292	C61H104O6	LMGL03011088
932.783292	C61H104O6	LMGL03011089
932.783292	C61H104O6	LMGL03011090
932.783292	C61H104O6	LMGL03011091
938.830242	C61H110O6	LMGL03011092
912.720692	C60H96O6	LMGL03011093
912.720692	C60H96O6	LMGL03011094
912.720692	C60H96O6	LMGL03011095
932.783292	C61H104O6	LMGL03011096
932.783292	C61H104O6	LMGL03011097
932.783292	C61H104O6	LMGL03011098
916.751992	C60H100O6	LMGL03011099
946.892842	C61H118O6	LMGL03011100
920.783292	C60H104O6	LMGL03011101
938.830242	C61H110O6	LMGL03011102
938.830242	C61H110O6	LMGL03011103
938.830242	C61H110O6	LMGL03011104
958.892842	C62H118O6	LMGL03011105
958.892842	C62H118O6	LMGL03011106
942.861542	C61H114O6	LMGL03011107
920.783292	C60H104O6	LMGL03011108
936.814592	C61H108O6	LMGL03011109
936.814592	C61H108O6	LMGL03011110
954.861542	C62H114O6	LMGL03011111
954.861542	C62H114O6	LMGL03011112
954.861542	C62H114O6	LMGL03011113
974.924142	C63H122O6	LMGL03011114
958.892842	C62H118O6	LMGL03011115
936.814592	C61H108O6	LMGL03011116
936.814592	C61H108O6	LMGL03011117
936.814592	C61H108O6	LMGL03011118
954.861542	C62H114O6	LMGL03011119
954.861542	C62H114O6	LMGL03011120
954.861542	C62H114O6	LMGL03011121
958.892842	C62H118O6	LMGL03011122
936.814592	C61H108O6	LMGL03011123
936.814592	C61H108O6	LMGL03011124
934.798942	C61H106O6	LMGL03011125
934.798942	C61H106O6	LMGL03011126
952.845892	C62H112O6	LMGL03011127
952.845892	C62H112O6	LMGL03011128
936.814592	C61H108O6	LMGL03011129
934.798942	C61H106O6	LMGL03011130
934.798942	C61H106O6	LMGL03011131
938.830242	C61H110O6	LMGL03011132
938.830242	C61H110O6	LMGL03011133
956.877192	C62H116O6	LMGL03011134
940.845892	C61H112O6	LMGL03011135
918.767642	C60H102O6	LMGL03011136
938.830242	C61H110O6	LMGL03011137
938.830242	C61H110O6	LMGL03011138
936.814592	C61H108O6	LMGL03011139
936.814592	C61H108O6	LMGL03011140
938.830242	C61H110O6	LMGL03011141
916.751992	C60H100O6	LMGL03011142
916.751992	C60H100O6	LMGL03011143
936.814592	C61H108O6	LMGL03011144
936.814592	C61H108O6	LMGL03011145
920.783292	C60H104O6	LMGL03011146
916.751992	C60H100O6	LMGL03011147
916.751992	C60H100O6	LMGL03011148
916.751992	C60H100O6	LMGL03011149
936.814592	C61H108O6	LMGL03011150
920.783292	C60H104O6	LMGL03011151
898.705042	C59H94O6	LMGL03011152
916.751992	C60H100O6	LMGL03011153
916.751992	C60H100O6	LMGL03011154
916.751992	C60H100O6	LMGL03011155
968.877192	C63H116O6	LMGL03011156
952.845892	C62H112O6	LMGL03011157
968.877192	C63H116O6	LMGL03011158
930.767642	C61H102O6	LMGL03011159
930.767642	C61H102O6	LMGL03011160
952.845892	C62H112O6	LMGL03011161
968.877192	C63H116O6	LMGL03011162
930.767642	C61H102O6	LMGL03011163
930.767642	C61H102O6	LMGL03011164
930.767642	C61H102O6	LMGL03011165
930.767642	C61H102O6	LMGL03011166
952.845892	C62H112O6	LMGL03011167
910.705042	C60H94O6	LMGL03011168
910.705042	C60H94O6	LMGL03011169
930.767642	C61H102O6	LMGL03011170
930.767642	C61H102O6	LMGL03011171
930.767642	C61H102O6	LMGL03011172
930.767642	C61H102O6	LMGL03011173
936.814592	C61H108O6	LMGL03011174
944.877192	C61H116O6	LMGL03011175
936.814592	C61H108O6	LMGL03011176
936.814592	C61H108O6	LMGL03011177
936.814592	C61H108O6	LMGL03011178
956.877192	C62H116O6	LMGL03011179
956.877192	C62H116O6	LMGL03011180
956.877192	C62H116O6	LMGL03011181
940.845892	C61H112O6	LMGL03011182
960.908492	C62H120O6	LMGL03011183
934.798942	C61H106O6	LMGL03011184
952.845892	C62H112O6	LMGL03011185
952.845892	C62H112O6	LMGL03011186
952.845892	C62H112O6	LMGL03011187
972.908492	C63H120O6	LMGL03011188
972.908492	C63H120O6	LMGL03011189
956.877192	C62H116O6	LMGL03011190
934.798942	C61H106O6	LMGL03011191
934.798942	C61H106O6	LMGL03011192
934.798942	C61H106O6	LMGL03011193
952.845892	C62H112O6	LMGL03011194
952.845892	C62H112O6	LMGL03011195
952.845892	C62H112O6	LMGL03011196
972.908492	C63H120O6	LMGL03011197
956.877192	C62H116O6	LMGL03011198
934.798942	C61H106O6	LMGL03011199
932.783292	C61H104O6	LMGL03011200
932.783292	C61H104O6	LMGL03011201
950.830242	C62H110O6	LMGL03011202
950.830242	C62H110O6	LMGL03011203
950.830242	C62H110O6	LMGL03011204
954.861542	C62H114O6	LMGL03011205
932.783292	C61H104O6	LMGL03011206
932.783292	C61H104O6	LMGL03011207
936.814592	C61H108O6	LMGL03011208
936.814592	C61H108O6	LMGL03011209
954.861542	C62H114O6	LMGL03011210
954.861542	C62H114O6	LMGL03011211
938.830242	C61H110O6	LMGL03011212
936.814592	C61H108O6	LMGL03011213
936.814592	C61H108O6	LMGL03011214
934.798942	C61H106O6	LMGL03011215
934.798942	C61H106O6	LMGL03011216
952.845892	C62H112O6	LMGL03011217
936.814592	C61H108O6	LMGL03011218
914.736342	C60H98O6	LMGL03011219
934.798942	C61H106O6	LMGL03011220
934.798942	C61H106O6	LMGL03011221
934.798942	C61H106O6	LMGL03011222
934.798942	C61H106O6	LMGL03011223
936.814592	C61H108O6	LMGL03011224
914.736342	C60H98O6	LMGL03011225
914.736342	C60H98O6	LMGL03011226
934.798942	C61H106O6	LMGL03011227
934.798942	C61H106O6	LMGL03011228
918.767642	C60H102O6	LMGL03011229
914.736342	C60H98O6	LMGL03011230
914.736342	C60H98O6	LMGL03011231
914.736342	C60H98O6	LMGL03011232
934.798942	C61H106O6	LMGL03011233
966.861542	C63H114O6	LMGL03011234
966.861542	C63H114O6	LMGL03011235
928.751992	C61H100O6	LMGL03011236
950.830242	C62H110O6	LMGL03011237
966.861542	C63H114O6	LMGL03011238
928.751992	C61H100O6	LMGL03011239
928.751992	C61H100O6	LMGL03011240
928.751992	C61H100O6	LMGL03011241
950.830242	C62H110O6	LMGL03011242
966.861542	C63H114O6	LMGL03011243
908.689392	C60H92O6	LMGL03011244
928.751992	C61H100O6	LMGL03011245
928.751992	C61H100O6	LMGL03011246
928.751992	C61H100O6	LMGL03011247
928.751992	C61H100O6	LMGL03011248
950.830242	C62H110O6	LMGL03011249
960.908492	C62H120O6	LMGL03011250
934.798942	C61H106O6	LMGL03011251
934.798942	C61H106O6	LMGL03011252
954.861542	C62H114O6	LMGL03011253
954.861542	C62H114O6	LMGL03011254
954.861542	C62H114O6	LMGL03011255
954.861542	C62H114O6	LMGL03011256
960.908492	C62H120O6	LMGL03011257
974.924142	C63H122O6	LMGL03011258
958.892842	C62H118O6	LMGL03011259
950.830242	C62H110O6	LMGL03011260
950.830242	C62H110O6	LMGL03011261
950.830242	C62H110O6	LMGL03011262
970.892842	C63H118O6	LMGL03011263
970.892842	C63H118O6	LMGL03011264
970.892842	C63H118O6	LMGL03011265
954.861542	C62H114O6	LMGL03011266
958.892842	C62H118O6	LMGL03011267
932.783292	C61H104O6	LMGL03011268
950.830242	C62H110O6	LMGL03011269
950.830242	C62H110O6	LMGL03011270
950.830242	C62H110O6	LMGL03011271
970.892842	C63H118O6	LMGL03011272
970.892842	C63H118O6	LMGL03011273
954.861542	C62H114O6	LMGL03011274
932.783292	C61H104O6	LMGL03011275
930.767642	C61H102O6	LMGL03011276
930.767642	C61H102O6	LMGL03011277
948.814592	C62H108O6	LMGL03011278
948.814592	C62H108O6	LMGL03011279
948.814592	C62H108O6	LMGL03011280
968.877192	C63H116O6	LMGL03011281
952.845892	C62H112O6	LMGL03011282
930.767642	C61H102O6	LMGL03011283
934.798942	C61H106O6	LMGL03011284
934.798942	C61H106O6	LMGL03011285
952.845892	C62H112O6	LMGL03011286
952.845892	C62H112O6	LMGL03011287
952.845892	C62H112O6	LMGL03011288
956.877192	C62H116O6	LMGL03011289
934.798942	C61H106O6	LMGL03011290
934.798942	C61H106O6	LMGL03011291
932.783292	C61H104O6	LMGL03011292
932.783292	C61H104O6	LMGL03011293
950.830242	C62H110O6	LMGL03011294
950.830242	C62H110O6	LMGL03011295
934.798942	C61H106O6	LMGL03011296
932.783292	C61H104O6	LMGL03011297
932.783292	C61H104O6	LMGL03011298
932.783292	C61H104O6	LMGL03011299
932.783292	C61H104O6	LMGL03011300
950.830242	C62H110O6	LMGL03011301
934.798942	C61H106O6	LMGL03011302
912.720692	C60H96O6	LMGL03011303
932.783292	C61H104O6	LMGL03011304
932.783292	C61H104O6	LMGL03011305
932.783292	C61H104O6	LMGL03011306
932.783292	C61H104O6	LMGL03011307
934.798942	C61H106O6	LMGL03011308
912.720692	C60H96O6	LMGL03011309
912.720692	C60H96O6	LMGL03011310
932.783292	C61H104O6	LMGL03011311
964.845892	C63H112O6	LMGL03011312
948.814592	C62H108O6	LMGL03011313
964.845892	C63H112O6	LMGL03011314
964.845892	C63H112O6	LMGL03011315
926.736342	C61H98O6	LMGL03011316
926.736342	C61H98O6	LMGL03011317
948.814592	C62H108O6	LMGL03011318
964.845892	C63H112O6	LMGL03011319
926.736342	C61H98O6	LMGL03011320
926.736342	C61H98O6	LMGL03011321
926.736342	C61H98O6	LMGL03011322
926.736342	C61H98O6	LMGL03011323
948.814592	C62H108O6	LMGL03011324
964.845892	C63H112O6	LMGL03011325
958.892842	C62H118O6	LMGL03011326
932.783292	C61H104O6	LMGL03011327
952.845892	C62H112O6	LMGL03011328
952.845892	C62H112O6	LMGL03011329
952.845892	C62H112O6	LMGL03011330
952.845892	C62H112O6	LMGL03011331
974.924142	C63H122O6	LMGL03011332
972.908492	C63H120O6	LMGL03011333
974.924142	C63H122O6	LMGL03011334
948.814592	C62H108O6	LMGL03011335
948.814592	C62H108O6	LMGL03011336
968.877192	C63H116O6	LMGL03011337
968.877192	C63H116O6	LMGL03011338
968.877192	C63H116O6	LMGL03011339
968.877192	C63H116O6	LMGL03011340
974.924142	C63H122O6	LMGL03011341
972.908492	C63H120O6	LMGL03011342
956.877192	C62H116O6	LMGL03011343
948.814592	C62H108O6	LMGL03011344
948.814592	C62H108O6	LMGL03011345
948.814592	C62H108O6	LMGL03011346
968.877192	C63H116O6	LMGL03011347
968.877192	C63H116O6	LMGL03011348
968.877192	C63H116O6	LMGL03011349
952.845892	C62H112O6	LMGL03011350
954.861542	C62H114O6	LMGL03011351
928.751992	C61H100O6	LMGL03011352
946.798942	C62H106O6	LMGL03011353
946.798942	C62H106O6	LMGL03011354
946.798942	C62H106O6	LMGL03011355
966.861542	C63H114O6	LMGL03011356
966.861542	C63H114O6	LMGL03011357
950.830242	C62H110O6	LMGL03011358
928.751992	C61H100O6	LMGL03011359
932.783292	C61H104O6	LMGL03011360
932.783292	C61H104O6	LMGL03011361
950.830242	C62H110O6	LMGL03011362
950.830242	C62H110O6	LMGL03011363
950.830242	C62H110O6	LMGL03011364
970.892842	C63H118O6	LMGL03011365
954.861542	C62H114O6	LMGL03011366
932.783292	C61H104O6	LMGL03011367
930.767642	C61H102O6	LMGL03011368
930.767642	C61H102O6	LMGL03011369
948.814592	C62H108O6	LMGL03011370
948.814592	C62H108O6	LMGL03011371
948.814592	C62H108O6	LMGL03011372
952.845892	C62H112O6	LMGL03011373
930.767642	C61H102O6	LMGL03011374
930.767642	C61H102O6	LMGL03011375
930.767642	C61H102O6	LMGL03011376
930.767642	C61H102O6	LMGL03011377
948.814592	C62H108O6	LMGL03011378
948.814592	C62H108O6	LMGL03011379
932.783292	C61H104O6	LMGL03011380
930.767642	C61H102O6	LMGL03011381
930.767642	C61H102O6	LMGL03011382
930.767642	C61H102O6	LMGL03011383
930.767642	C61H102O6	LMGL03011384
948.814592	C62H108O6	LMGL03011385
932.783292	C61H104O6	LMGL03011386
910.705042	C60H94O6	LMGL03011387
930.767642	C61H102O6	LMGL03011388
930.767642	C61H102O6	LMGL03011389
962.830242	C63H110O6	LMGL03011390
962.830242	C63H110O6	LMGL03011391
962.830242	C63H110O6	LMGL03011392
924.720692	C61H96O6	LMGL03011393
946.798942	C62H106O6	LMGL03011394
962.830242	C63H110O6	LMGL03011395
962.830242	C63H110O6	LMGL03011396
924.720692	C61H96O6	LMGL03011397
924.720692	C61H96O6	LMGL03011398
924.720692	C61H96O6	LMGL03011399
946.798942	C62H106O6	LMGL03011400
962.830242	C63H110O6	LMGL03011401
956.877192	C62H116O6	LMGL03011402
950.830242	C62H110O6	LMGL03011403
950.830242	C62H110O6	LMGL03011404
950.830242	C62H110O6	LMGL03011405
950.830242	C62H110O6	LMGL03011406
972.908492	C63H120O6	LMGL03011407
988.939792	C64H124O6	LMGL03011408
988.939792	C64H124O6	LMGL03011409
972.908492	C63H120O6	LMGL03011410
946.798942	C62H106O6	LMGL03011411
966.861542	C63H114O6	LMGL03011412
966.861542	C63H114O6	LMGL03011413
966.861542	C63H114O6	LMGL03011414
966.861542	C63H114O6	LMGL03011415
988.939792	C64H124O6	LMGL03011416
970.892842	C63H118O6	LMGL03011417
970.892842	C63H118O6	LMGL03011418
972.908492	C63H120O6	LMGL03011419
946.798942	C62H106O6	LMGL03011420
946.798942	C62H106O6	LMGL03011421
966.861542	C63H114O6	LMGL03011422
966.861542	C63H114O6	LMGL03011423
966.861542	C63H114O6	LMGL03011424
966.861542	C63H114O6	LMGL03011425
972.908492	C63H120O6	LMGL03011426
968.877192	C63H116O6	LMGL03011427
952.845892	C62H112O6	LMGL03011428
944.783292	C62H104O6	LMGL03011429
944.783292	C62H104O6	LMGL03011430
944.783292	C62H104O6	LMGL03011431
964.845892	C63H112O6	LMGL03011432
964.845892	C63H112O6	LMGL03011433
964.845892	C63H112O6	LMGL03011434
948.814592	C62H108O6	LMGL03011435
956.877192	C62H116O6	LMGL03011436
930.767642	C61H102O6	LMGL03011437
948.814592	C62H108O6	LMGL03011438
948.814592	C62H108O6	LMGL03011439
948.814592	C62H108O6	LMGL03011440
968.877192	C63H116O6	LMGL03011441
968.877192	C63H116O6	LMGL03011442
952.845892	C62H112O6	LMGL03011443
930.767642	C61H102O6	LMGL03011444
928.751992	C61H100O6	LMGL03011445
928.751992	C61H100O6	LMGL03011446
946.798942	C62H106O6	LMGL03011447
946.798942	C62H106O6	LMGL03011448
946.798942	C62H106O6	LMGL03011449
966.861542	C63H114O6	LMGL03011450
950.830242	C62H110O6	LMGL03011451
928.751992	C61H100O6	LMGL03011452
928.751992	C61H100O6	LMGL03011453
928.751992	C61H100O6	LMGL03011454
946.798942	C62H106O6	LMGL03011455
946.798942	C62H106O6	LMGL03011456
946.798942	C62H106O6	LMGL03011457
950.830242	C62H110O6	LMGL03011458
928.751992	C61H100O6	LMGL03011459
928.751992	C61H100O6	LMGL03011460
928.751992	C61H100O6	LMGL03011461
928.751992	C61H100O6	LMGL03011462
946.798942	C62H106O6	LMGL03011463
946.798942	C62H106O6	LMGL03011464
930.767642	C61H102O6	LMGL03011465
928.751992	C61H100O6	LMGL03011466
928.751992	C61H100O6	LMGL03011467
960.814592	C63H108O6	LMGL03011468
960.814592	C63H108O6	LMGL03011469
944.783292	C62H104O6	LMGL03011470
960.814592	C63H108O6	LMGL03011471
960.814592	C63H108O6	LMGL03011472
922.705042	C61H94O6	LMGL03011473
922.705042	C61H94O6	LMGL03011474
944.783292	C62H104O6	LMGL03011475
960.814592	C63H108O6	LMGL03011476
960.814592	C63H108O6	LMGL03011477
974.924142	C63H122O6	LMGL03011478
948.814592	C62H108O6	LMGL03011479
948.814592	C62H108O6	LMGL03011480
948.814592	C62H108O6	LMGL03011481
970.892842	C63H118O6	LMGL03011482
986.924142	C64H122O6	LMGL03011483
986.924142	C64H122O6	LMGL03011484
970.892842	C63H118O6	LMGL03011485
964.845892	C63H112O6	LMGL03011486
964.845892	C63H112O6	LMGL03011487
964.845892	C63H112O6	LMGL03011488
964.845892	C63H112O6	LMGL03011489
986.924142	C64H122O6	LMGL03011490
1002.955442	C65H126O6	LMGL03011491
968.877192	C63H116O6	LMGL03011492
986.924142	C64H122O6	LMGL03011493
970.892842	C63H118O6	LMGL03011494
944.783292	C62H104O6	LMGL03011495
964.845892	C63H112O6	LMGL03011496
964.845892	C63H112O6	LMGL03011497
964.845892	C63H112O6	LMGL03011498
964.845892	C63H112O6	LMGL03011499
986.924142	C64H122O6	LMGL03011500
966.861542	C63H114O6	LMGL03011501
966.861542	C63H114O6	LMGL03011502
968.877192	C63H116O6	LMGL03011503
942.767642	C62H102O6	LMGL03011504
942.767642	C62H102O6	LMGL03011505
962.830242	C63H110O6	LMGL03011506
962.830242	C63H110O6	LMGL03011507
962.830242	C63H110O6	LMGL03011508
962.830242	C63H110O6	LMGL03011509
968.877192	C63H116O6	LMGL03011510
970.892842	C63H118O6	LMGL03011511
954.861542	C62H114O6	LMGL03011512
946.798942	C62H106O6	LMGL03011513
946.798942	C62H106O6	LMGL03011514
946.798942	C62H106O6	LMGL03011515
966.861542	C63H114O6	LMGL03011516
966.861542	C63H114O6	LMGL03011517
966.861542	C63H114O6	LMGL03011518
950.830242	C62H110O6	LMGL03011519
952.845892	C62H112O6	LMGL03011520
926.736342	C61H98O6	LMGL03011521
944.783292	C62H104O6	LMGL03011522
944.783292	C62H104O6	LMGL03011523
944.783292	C62H104O6	LMGL03011524
964.845892	C63H112O6	LMGL03011525
964.845892	C63H112O6	LMGL03011526
948.814592	C62H108O6	LMGL03011527
926.736342	C61H98O6	LMGL03011528
926.736342	C61H98O6	LMGL03011529
926.736342	C61H98O6	LMGL03011530
944.783292	C62H104O6	LMGL03011531
944.783292	C62H104O6	LMGL03011532
944.783292	C62H104O6	LMGL03011533
964.845892	C63H112O6	LMGL03011534
